GEO.id,GEO.id2,GEO.display-label,HC01_VC01,HC02_VC01,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC32,HC02_VC32,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC40,HC02_VC40,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC48,HC02_VC48,HC01_VC49,HC02_VC49,HC01_VC50,HC02_VC50,HC01_VC51,HC02_VC51,HC01_VC52,HC02_VC52,HC01_VC53,HC02_VC53,HC01_VC55,HC02_VC55,HC01_VC56,HC02_VC56,HC01_VC57,HC02_VC57,HC01_VC58,HC02_VC58,HC01_VC59,HC02_VC59,HC01_VC60,HC02_VC60,HC01_VC61,HC02_VC61,HC01_VC62,HC02_VC62,HC01_VC64,HC02_VC64,HC01_VC65,HC02_VC65,HC01_VC66,HC02_VC66,HC01_VC67,HC02_VC67,HC01_VC68,HC02_VC68,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC71,HC02_VC71,HC01_VC72,HC02_VC72,HC01_VC73,HC02_VC73,HC01_VC74,HC02_VC74,HC01_VC75,HC02_VC75,HC01_VC76,HC02_VC76,HC01_VC78,HC02_VC78,HC01_VC79,HC02_VC79,HC01_VC80,HC02_VC80,HC01_VC81,HC02_VC81,HC01_VC82,HC02_VC82,HC01_VC83,HC02_VC83,HC01_VC84,HC02_VC84,HC01_VC85,HC02_VC85,HC01_VC86,HC02_VC86,HC01_VC87,HC02_VC87,HC01_VC88,HC02_VC88,HC01_VC89,HC02_VC89,HC01_VC90,HC02_VC90,HC01_VC91,HC02_VC91,HC01_VC93,HC02_VC93,HC01_VC94,HC02_VC94,HC01_VC95,HC02_VC95,HC01_VC96,HC02_VC96,HC01_VC97,HC02_VC97,HC01_VC98,HC02_VC98,HC01_VC100,HC02_VC100,HC01_VC101,HC02_VC101,HC01_VC102,HC02_VC102,HC01_VC103,HC02_VC103,HC01_VC104,HC02_VC104
Id,Id2,Geography,Number; Total population,Percent; Total population,Number; Total population - SEX AND AGE - Male,Percent; Total population - SEX AND AGE - Male,Number; Total population - SEX AND AGE - Female,Percent; Total population - SEX AND AGE - Female,Number; Total population - SEX AND AGE - Under 5 years,Percent; Total population - SEX AND AGE - Under 5 years,Number; Total population - SEX AND AGE - 5 to 9 years,Percent; Total population - SEX AND AGE - 5 to 9 years,Number; Total population - SEX AND AGE - 10 to 14 years,Percent; Total population - SEX AND AGE - 10 to 14 years,Number; Total population - SEX AND AGE - 15 to 19 years,Percent; Total population - SEX AND AGE - 15 to 19 years,Number; Total population - SEX AND AGE - 20 to 24 years,Percent; Total population - SEX AND AGE - 20 to 24 years,Number; Total population - SEX AND AGE - 25 to 34 years,Percent; Total population - SEX AND AGE - 25 to 34 years,Number; Total population - SEX AND AGE - 35 to 44 years,Percent; Total population - SEX AND AGE - 35 to 44 years,Number; Total population - SEX AND AGE - 45 to 54 years,Percent; Total population - SEX AND AGE - 45 to 54 years,Number; Total population - SEX AND AGE - 55 to 59 years,Percent; Total population - SEX AND AGE - 55 to 59 years,Number; Total population - SEX AND AGE - 60 to 64 years,Percent; Total population - SEX AND AGE - 60 to 64 years,Number; Total population - SEX AND AGE - 65 to 74 years,Percent; Total population - SEX AND AGE - 65 to 74 years,Number; Total population - SEX AND AGE - 75 to 84 years,Percent; Total population - SEX AND AGE - 75 to 84 years,Number; Total population - SEX AND AGE - 85 years and over,Percent; Total population - SEX AND AGE - 85 years and over,Number; Total population - SEX AND AGE - Median age (years),Percent; Total population - SEX AND AGE - Median age (years),Number; Total population - SEX AND AGE - 18 years and over,Percent; Total population - SEX AND AGE - 18 years and over,Number; Total population - SEX AND AGE - 18 years and over - Male,Percent; Total population - SEX AND AGE - 18 years and over - Male,Number; Total population - SEX AND AGE - 18 years and over - Female,Percent; Total population - SEX AND AGE - 18 years and over - Female,Number; Total population - SEX AND AGE - 21 years and over,Percent; Total population - SEX AND AGE - 21 years and over,Number; Total population - SEX AND AGE - 62 years and over,Percent; Total population - SEX AND AGE - 62 years and over,Number; Total population - SEX AND AGE - 65 years and over,Percent; Total population - SEX AND AGE - 65 years and over,Number; Total population - SEX AND AGE - 65 years and over - Male,Percent; Total population - SEX AND AGE - 65 years and over - Male,Number; Total population - SEX AND AGE - 65 years and over - Female,Percent; Total population - SEX AND AGE - 65 years and over - Female,Number; Total population - RACE - One race,Percent; Total population - RACE - One race,Number; Total population - RACE - One race - White,Percent; Total population - RACE - One race - White,Number; Total population - RACE - One race - Black or African American,Percent; Total population - RACE - One race - Black or African American,Number; Total population - RACE - One race - American Indian and Alaska Native,Percent; Total population - RACE - One race - American Indian and Alaska Native,Number; Total population - RACE - One race - Asian,Percent; Total population - RACE - One race - Asian,Number; Total population - RACE - One race - Asian - Asian Indian,Percent; Total population - RACE - One race - Asian - Asian Indian,Number; Total population - RACE - One race - Asian - Chinese,Percent; Total population - RACE - One race - Asian - Chinese,Number; Total population - RACE - One race - Asian - Filipino,Percent; Total population - RACE - One race - Asian - Filipino,Number; Total population - RACE - One race - Asian - Japanese,Percent; Total population - RACE - One race - Asian - Japanese,Number; Total population - RACE - One race - Asian - Korean,Percent; Total population - RACE - One race - Asian - Korean,Number; Total population - RACE - One race - Asian - Vietnamese,Percent; Total population - RACE - One race - Asian - Vietnamese,Number; Total population - RACE - One race - Asian - Other Asian [1],Percent; Total population - RACE - One race - Asian - Other Asian [1],Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander [2],Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander [2],Number; Total population - RACE - One race - Some other race,Percent; Total population - RACE - One race - Some other race,Number; Total population - RACE - Two or more races,Percent; Total population - RACE - Two or more races,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - White,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - White,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Black or African American,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Black or African American,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - American Indian and Alaska Native,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - American Indian and Alaska Native,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Asian,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Asian,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Native Hawaiian and Other Pacific Islander,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Native Hawaiian and Other Pacific Islander,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Some other race,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Some other race,Number; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Number; RELATIONSHIP - Total population,Percent; RELATIONSHIP - Total population,Number; RELATIONSHIP - Total population - In households,Percent; RELATIONSHIP - Total population - In households,Number; RELATIONSHIP - Total population - In households - Householder,Percent; RELATIONSHIP - Total population - In households - Householder,Number; RELATIONSHIP - Total population - In households - Spouse,Percent; RELATIONSHIP - Total population - In households - Spouse,Number; RELATIONSHIP - Total population - In households - Child,Percent; RELATIONSHIP - Total population - In households - Child,Number; RELATIONSHIP - Total population - In households - Child - Own child under 18 years,Percent; RELATIONSHIP - Total population - In households - Child - Own child under 18 years,Number; RELATIONSHIP - Total population - In households - Other relatives,Percent; RELATIONSHIP - Total population - In households - Other relatives,Number; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Percent; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Number; RELATIONSHIP - Total population - In households - Nonrelatives,Percent; RELATIONSHIP - Total population - In households - Nonrelatives,Number; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Number; RELATIONSHIP - Total population - In group quarters,Percent; RELATIONSHIP - Total population - In group quarters,Number; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Number; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Number; HOUSEHOLDS BY TYPE - Total households,Percent; HOUSEHOLDS BY TYPE - Total households,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families),Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families),Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years,"Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present","Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present - With own children under 18 years","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present - With own children under 18 years",Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - Householder 65 years and over,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - Householder 65 years and over,Number; HOUSEHOLDS BY TYPE - Total households - Households with individuals under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Households with individuals under 18 years,Number; HOUSEHOLDS BY TYPE - Total households - Households with individuals 65 years and over,Percent; HOUSEHOLDS BY TYPE - Total households - Households with individuals 65 years and over,Number; HOUSEHOLDS BY TYPE - Total households - Average household size,Percent; HOUSEHOLDS BY TYPE - Total households - Average household size,Number; HOUSEHOLDS BY TYPE - Total households - Average family size,Percent; HOUSEHOLDS BY TYPE - Total households - Average family size,Number; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units,Number; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Percent; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,"Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For seasonal, recreational, or occasional use","Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For seasonal, recreational, or occasional use",Number; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent),Percent; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent),Number; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent),Percent; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent),Number; HOUSING TENURE - Occupied housing units,Percent; HOUSING TENURE - Occupied housing units,Number; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Percent; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Average household size of owner-occupied unit,Percent; HOUSING TENURE - Occupied housing units - Average household size of owner-occupied unit,Number; HOUSING TENURE - Occupied housing units - Average household size of renter-occupied unit,Percent; HOUSING TENURE - Occupied housing units - Average household size of renter-occupied unit
5001000US0101,0101,"Congressional District 1 (110th Congress), Alabama",635300,100.0,306620,48.3,328680,51.7,44487,7.0,47766,7.5,48163,7.6,47183,7.4,40743,6.4,82555,13.0,97497,15.3,84676,13.3,32506,5.1,27248,4.3,45326,7.1,28019,4.4,9131,1.4,35.7,(X),465971,73.3,220003,34.6,245968,38.7,439266,69.1,98360,15.5,82476,13.0,34035,5.4,48441,7.6,628823,99.0,434959,68.5,178574,28.1,6204,1.0,6364,1.0,863,0.1,710,0.1,435,0.1,216,0.0,269,0.0,2389,0.4,1482,0.2,156,0.0,47,0.0,44,0.0,22,0.0,43,0.0,2566,0.4,6477,1.0,440353,69.3,180474,28.4,9423,1.5,7568,1.2,401,0.1,3991,0.6,635300,100.0,8152,1.3,3509,0.6,722,0.1,500,0.1,3421,0.5,627148,98.7,430641,67.8,635300,100.0,621456,97.8,241376,38.0,126595,19.9,195195,30.7,147858,23.3,37459,5.9,18494,2.9,20831,3.3,9010,1.4,13844,2.2,7947,1.3,5897,0.9,241376,100.0,172943,71.6,81412,33.7,126595,52.4,55414,23.0,37461,15.5,21801,9.0,68433,28.4,59175,24.5,22491,9.3,91756,38.0,59349,24.6,2.57,(X),3.08,(X),281691,100.0,241376,85.7,40315,14.3,15071,5.4,2.0,(X),13.0,(X),241376,100.0,176332,73.1,65044,26.9,2.63,(X),2.41,(X)
5001000US0102,0102,"Congressional District 2 (110th Congress), Alabama",635300,100.0,308305,48.5,326995,51.5,42135,6.6,45367,7.1,46806,7.4,46145,7.3,43293,6.8,86835,13.7,97381,15.3,84096,13.2,31880,5.0,27067,4.3,44987,7.1,28798,4.5,10510,1.7,35.7,(X),472897,74.4,224970,35.4,247927,39.0,445431,70.1,100323,15.8,84295,13.3,33352,5.2,50943,8.0,628662,99.0,430403,67.7,188114,29.6,2814,0.4,3854,0.6,561,0.1,511,0.1,474,0.1,361,0.1,764,0.1,435,0.1,748,0.1,246,0.0,97,0.0,60,0.0,36,0.0,53,0.0,3231,0.5,6638,1.0,435781,68.6,190354,30.0,5863,0.9,5426,0.9,541,0.1,4459,0.7,635300,100.0,9786,1.5,4438,0.7,1527,0.2,336,0.1,3485,0.5,625514,98.5,425465,67.0,635300,100.0,611820,96.3,246607,38.8,126429,19.9,186023,29.3,143499,22.6,33178,5.2,16187,2.5,19583,3.1,8719,1.4,23480,3.7,15845,2.5,7635,1.2,246607,100.0,172464,69.9,81275,33.0,126429,51.3,54536,22.1,37011,15.0,22302,9.0,74143,30.1,65453,26.5,25622,10.4,90342,36.6,61170,24.8,2.48,(X),3.00,(X),281290,100.0,246607,87.7,34683,12.3,5234,1.9,2.3,(X),12.6,(X),246607,100.0,176720,71.7,69887,28.3,2.53,(X),2.37,(X)
5001000US0103,0103,"Congressional District 3 (110th Congress), Alabama",635300,100.0,305852,48.1,329448,51.9,40841,6.4,44217,7.0,44661,7.0,50575,8.0,53426,8.4,84285,13.3,92851,14.6,84133,13.2,31871,5.0,26746,4.2,44907,7.1,27257,4.3,9530,1.5,35.0,(X),478737,75.4,225984,35.6,252753,39.8,442346,69.6,97434,15.3,81694,12.9,32019,5.0,49675,7.8,630093,99.2,416265,65.5,205607,32.4,1689,0.3,3902,0.6,816,0.1,927,0.1,366,0.1,235,0.0,653,0.1,260,0.0,645,0.1,193,0.0,34,0.0,80,0.0,50,0.0,29,0.0,2437,0.4,5207,0.8,420492,66.2,207567,32.7,3986,0.6,4993,0.8,494,0.1,3485,0.5,635300,100.0,7533,1.2,3560,0.6,1117,0.2,298,0.0,2558,0.4,627767,98.8,412398,64.9,635300,100.0,613939,96.6,248618,39.1,121660,19.2,179684,28.3,134474,21.2,38021,6.0,18552,2.9,25956,4.1,9254,1.5,21361,3.4,10485,1.7,10876,1.7,248618,100.0,169041,68.0,76485,30.8,121660,48.9,50798,20.4,37725,15.2,21238,8.5,79577,32.0,67034,27.0,24263,9.8,87155,35.1,59201,23.8,2.47,(X),3.01,(X),286010,100.0,248618,86.9,37392,13.1,8635,3.0,2.1,(X),12.5,(X),248618,100.0,176499,71.0,72119,29.0,2.54,(X),2.29,(X)
5001000US0104,0104,"Congressional District 4 (110th Congress), Alabama",635300,100.0,310279,48.8,325021,51.2,40985,6.5,42916,6.8,43443,6.8,43253,6.8,37919,6.0,84993,13.4,95309,15.0,87169,13.7,35705,5.6,31137,4.9,51025,8.0,31021,4.9,10425,1.6,37.6,(X),481278,75.8,230927,36.3,250351,39.4,456597,71.9,110763,17.4,92471,14.6,37354,5.9,55117,8.7,628950,99.0,582353,91.7,32768,5.2,2800,0.4,1418,0.2,313,0.0,220,0.0,263,0.0,131,0.0,213,0.0,128,0.0,150,0.0,217,0.0,35,0.0,121,0.0,28,0.0,33,0.0,9394,1.5,6350,1.0,588221,92.6,33779,5.3,6409,1.0,2095,0.3,426,0.1,11019,1.7,635300,100.0,19201,3.0,13634,2.1,568,0.1,196,0.0,4803,0.8,616099,97.0,574084,90.4,635300,100.0,626000,98.5,251477,39.6,148359,23.4,179795,28.3,138112,21.7,29257,4.6,12699,2.0,17112,2.7,7451,1.2,9300,1.5,7175,1.1,2125,0.3,251477,100.0,183533,73.0,80186,31.9,148359,59.0,61457,24.4,26007,10.3,14187,5.6,67944,27.0,61312,24.4,27793,11.1,88513,35.2,66146,26.3,2.49,(X),2.95,(X),282766,100.0,251477,88.9,31289,11.1,5452,1.9,1.9,(X),11.9,(X),251477,100.0,196344,78.1,55133,21.9,2.53,(X),2.35,(X)
5001000US0105,0105,"Congressional District 5 (110th Congress), Alabama",635300,100.0,309694,48.7,325606,51.3,41451,6.5,44864,7.1,45366,7.1,44357,7.0,40175,6.3,87387,13.8,105272,16.6,86588,13.6,33388,5.3,28418,4.5,44400,7.0,25701,4.0,7933,1.2,36.3,(X),477125,75.1,228644,36.0,248481,39.1,450702,70.9,94594,14.9,78034,12.3,31977,5.0,46057,7.2,625299,98.4,500481,78.8,107765,17.0,6056,1.0,6335,1.0,1792,0.3,1308,0.2,487,0.1,486,0.1,1134,0.2,499,0.1,629,0.1,288,0.0,76,0.0,145,0.0,22,0.0,45,0.0,4374,0.7,10001,1.6,509209,80.2,110348,17.4,11826,1.9,7852,1.2,574,0.1,5948,0.9,635300,100.0,12549,2.0,7724,1.2,1230,0.2,345,0.1,3250,0.5,622751,98.0,493696,77.7,635300,100.0,621103,97.8,252819,39.8,139621,22.0,183991,29.0,143780,22.6,26301,4.1,11777,1.9,18371,2.9,7832,1.2,14197,2.2,7584,1.2,6613,1.0,252819,100.0,177497,70.2,82317,32.6,139621,55.2,60806,24.1,29335,11.6,17260,6.8,75322,29.8,66383,26.3,23086,9.1,89834,35.5,56386,22.3,2.46,(X),2.97,(X),278684,100.0,252819,90.7,25865,9.3,3123,1.1,2.1,(X),12.0,(X),252819,100.0,183269,72.5,69550,27.5,2.55,(X),2.21,(X)
5001000US0106,0106,"Congressional District 6 (110th Congress), Alabama",635300,100.0,310240,48.8,325060,51.2,41352,6.5,43273,6.8,44813,7.1,41260,6.5,38497,6.1,92508,14.6,105177,16.6,92099,14.5,32826,5.2,25400,4.0,42770,6.7,26399,4.2,8926,1.4,36.5,(X),479803,75.5,229965,36.2,249838,39.3,457189,72.0,92525,14.6,78095,12.3,31623,5.0,46472,7.3,630434,99.2,569659,89.7,49195,7.7,1739,0.3,5807,0.9,1696,0.3,1443,0.2,422,0.1,292,0.0,766,0.1,586,0.1,602,0.1,129,0.0,23,0.0,51,0.0,25,0.0,30,0.0,3905,0.6,4866,0.8,574031,90.4,50121,7.9,4051,0.6,6918,1.1,261,0.0,5020,0.8,635300,100.0,10383,1.6,6790,1.1,586,0.1,413,0.1,2594,0.4,624917,98.4,563834,88.8,635300,100.0,623516,98.1,249318,39.2,148527,23.4,182402,28.7,143864,22.6,24565,3.9,9476,1.5,18704,2.9,6685,1.1,11784,1.9,7846,1.2,3938,0.6,249318,100.0,177995,71.4,82522,33.1,148527,59.6,67226,27.0,22457,9.0,12044,4.8,71323,28.6,61412,24.6,20885,8.4,88649,35.6,54815,22.0,2.50,(X),3.00,(X),271212,100.0,249318,91.9,21894,8.1,4711,1.7,1.7,(X),10.0,(X),249318,100.0,194576,78.0,54742,22.0,2.61,(X),2.10,(X)
5001000US0107,0107,"Congressional District 7 (110th Congress), Alabama",635300,100.0,295514,46.5,339786,53.5,44741,7.0,46942,7.4,47000,7.4,51807,8.2,52812,8.3,84452,13.3,92025,14.5,81448,12.8,27274,4.3,24066,3.8,43333,6.8,28554,4.5,10846,1.7,33.7,(X),467867,73.6,210358,33.1,257509,40.5,432786,68.1,96915,15.3,82733,13.0,31126,4.9,51607,8.1,630660,99.3,228688,36.0,393907,62.0,1128,0.2,3666,0.6,859,0.1,1218,0.2,280,0.0,245,0.0,317,0.0,331,0.1,416,0.1,180,0.0,47,0.0,76,0.0,26,0.0,31,0.0,3091,0.5,4640,0.7,231866,36.5,396355,62.4,2891,0.5,4606,0.7,472,0.1,4279,0.7,635300,100.0,8226,1.3,4867,0.8,572,0.1,266,0.0,2521,0.4,627074,98.7,225701,35.5,635300,100.0,614546,96.7,246865,38.9,95725,15.1,195415,30.8,138212,21.8,51682,8.1,25938,4.1,24859,3.9,9586,1.5,20754,3.3,8481,1.3,12273,1.9,246865,100.0,162495,65.8,77261,31.3,95725,38.8,40948,16.6,56470,22.9,32225,13.1,84370,34.2,73129,29.6,25598,10.4,90608,36.7,61541,24.9,2.49,(X),3.11,(X),282058,100.0,246865,87.5,35193,12.5,4979,1.8,2.0,(X),10.6,(X),246865,100.0,154965,62.8,91900,37.2,2.59,(X),2.33,(X)
5001000US0200,0200,"Congressional District (at Large) (110th Congress), Alaska",626932,100.0,324112,51.7,302820,48.3,47591,7.6,53771,8.6,56661,9.0,50094,8.0,39892,6.4,89473,14.3,114049,18.2,94952,15.1,27423,4.4,17327,2.8,22507,3.6,10558,1.7,2634,0.4,32.4,(X),436215,69.6,226111,36.1,210104,33.5,410474,65.5,45300,7.2,35699,5.7,16724,2.7,18975,3.0,592786,94.6,434534,69.3,21787,3.5,98043,15.6,25116,4.0,723,0.1,1464,0.2,12712,2.0,1414,0.2,4573,0.7,814,0.1,3416,0.5,3309,0.5,695,0.1,227,0.0,1670,0.3,717,0.1,9997,1.6,34146,5.4,463999,74.0,27147,4.3,119241,19.0,32686,5.2,5515,0.9,15151,2.4,626932,100.0,25852,4.1,13334,2.1,2649,0.4,553,0.1,9316,1.5,601080,95.9,423788,67.6,626932,100.0,607583,96.9,221600,35.3,116318,18.6,206127,32.9,174113,27.8,24481,3.9,10808,1.7,39057,6.2,16568,2.6,19349,3.1,4824,0.8,14525,2.3,221600,100.0,152337,68.7,88484,39.9,116318,52.5,63245,28.5,23937,10.8,17243,7.8,69263,31.3,52060,23.5,8985,4.1,95129,42.9,26349,11.9,2.74,(X),3.28,(X),260978,100.0,221600,84.9,39378,15.1,21474,8.2,1.9,(X),7.8,(X),221600,100.0,138509,62.5,83091,37.5,2.89,(X),2.49,(X)
5001000US0401,0401,"Congressional District 1 (110th Congress), Arizona",641329,100.0,325515,50.8,315814,49.2,44745,7.0,50084,7.8,53966,8.4,51215,8.0,42419,6.6,75619,11.8,90601,14.1,82405,12.8,32743,5.1,29555,4.6,50880,7.9,29056,4.5,8041,1.3,35.3,(X),460774,71.8,232838,36.3,227936,35.5,431589,67.3,105448,16.4,87977,13.7,40975,6.4,47002,7.3,627265,97.8,422146,65.8,8256,1.3,144688,22.6,3339,0.5,725,0.1,739,0.1,654,0.1,411,0.1,323,0.1,161,0.0,326,0.1,464,0.1,166,0.0,103,0.0,69,0.0,126,0.0,48372,7.5,14064,2.2,434146,67.7,9870,1.5,150902,23.5,4895,0.8,1053,0.2,55206,8.6,641329,100.0,105346,16.4,83022,12.9,851,0.1,292,0.0,21181,3.3,535983,83.6,374790,58.4,641329,100.0,612445,95.5,223831,34.9,120646,18.8,194071,30.3,153154,23.9,41777,6.5,22669,3.5,32120,5.0,13313,2.1,28884,4.5,22629,3.5,6255,1.0,223831,100.0,158207,70.7,72568,32.4,120646,53.9,49808,22.3,27314,12.2,16673,7.4,65624,29.3,52108,23.3,20512,9.2,82608,36.9,61529,27.5,2.74,(X),3.25,(X),293918,100.0,223831,76.2,70087,23.8,43326,14.7,2.7,(X),9.8,(X),223831,100.0,160054,71.5,63777,28.5,2.74,(X),2.73,(X)
